"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"order","/ˈɔːdə(r)/","n. 【常见】命令；顺序；订单；v. 【常见】命令；订购","原生基础词，源自拉丁语 ordo（排列），无词根拆分","Please place your order.","请下订单。"
"em","/em/","pron. 【常见】他们（them 的口语缩略形式）","them 的口语缩略形式，无词根拆分","Tell 'em I said hi.","告诉他们我问好。"
"fact","/fækt/","n. 【常见】事实；实际；真相","原生基础词，源自拉丁语 factum（已做的事），无词根拆分","It's a fact.","这是事实。"
"lord","/lɔːd/","n. 【常见】主；上帝；贵族；v. 【常见】称王称霸","原生基础词，古英语 hlāford（面包守护者），无词根拆分","Lord, help me.","主啊，帮帮我。"
"captain","/ˈkæptɪn/","n. 【常见】船长；队长；上尉；v. 【常见】率领","原生基础词，源自拉丁语 caput（头），无词根拆分","He is the captain of the team.","他是队长。"
"six","/sɪks/","num. 【常见】六；六个","原生基础词，古英语 siex，无词根拆分","He is six years old.","他六岁了。"
"hot","/hɒt/","adj. 【常见】热的；辣的；流行的；v. 【常见】变热","原生基础词，古英语 hāt，无词根拆分","The coffee is hot.","咖啡是热的。"
"funny","/ˈfʌni/","adj. 【常见】有趣的；好笑的；奇怪的","fun（乐趣）+ 后缀-ny（形容词后缀）","That's a funny story.","那是一个有趣的故事。"
"black","/blæk/","adj. 【常见】黑色的；黑暗的；n. 【常见】黑色","原生基础词，古英语 blæc，无词根拆分","She has black hair.","她有一头黑发。"
"mrs.","/ˈmɪsɪz/","n. 【常见】太太；夫人（Mistress 的缩写）","Mistress 的缩写形式，无词根拆分","Mrs. Smith is my neighbor.","史密斯太太是我的邻居。"
"alive","/əˈlaɪv/","adj. 【常见】活着的；活跃的；有生气的；继续存在的","前缀a-（在…状态）+ live（生活、活着）","The flowers are still alive after the heavy rain.","大雨过后这些花还活着。"
"pick","/pɪk/","v. 【常见】挑选；采摘；n. 【常见】选择；镐","原生基础词，古英语 pīcan（挑选），无词根拆分","Please pick a color.","请选一个颜色。"
"feeling","/ˈfiːlɪŋ/","v. 【常见】感觉（feel 的现在分词）；n. 【常见】感觉；看法","feel（感觉）+ 后缀-ing（现在分词/名词后缀）","I have a good feeling about this.","我对这件事有好的预感。"
"living","/ˈlɪvɪŋ/","v. 【常见】生活（live 的现在分词）；adj. 【常见】活的；n. 【常见】生计","live（生活）+ 后缀-ing（现在分词后缀）","The living room is big.","客厅很大。"
"cause","/kɔːz/","n. 【常见】原因；事业；v. 【常见】引起；导致","原生基础词，源自拉丁语 causa（原因），无词根拆分","What caused the accident?","什么导致了事故？"
"ahead","/əˈhed/","adv. 【常见】在前；提前；领先","a-（在…状态）+ head（头）","Go straight ahead.","一直向前走。"
"lose","/luːz/","v. 【常见】失去；丢失；输掉；迷路","原生基础词，古英语 losian（失去），无词根拆分","I don't want to lose you.","我不想失去你。"
"king","/kɪŋ/","n. 【常见】国王；君主；大王；v. 【常见】称王","原生基础词，古英语 cyning，无词根拆分","The king lives in the castle.","国王住在城堡里。"
"plan","/plæn/","n. 【常见】计划；方案；v. 【常见】计划；规划","原生基础词，源自法语 plan，无词根拆分","I have a plan.","我有一个计划。"
"dinner","/ˈdɪnə(r)/","n. 【常见】正餐；晚餐；宴会","原生基础词，源自拉丁语 cena（晚餐），无词根拆分","What's for dinner?","晚餐吃什么？"